형제자매배우자수,부모자녀수,요금,새나이,객실구분T,객실구분D,객실구분F,객실구분X,객실구분B,객실구분C,객실구분A,객실구분E,객실구분G,객실숫자번호1,객실숫자번호2,객실숫자번호3,객실숫자번호4,티켓등급_1,티켓등급_2,티켓등급_3,성별_female,성별_male,승선항_C,승선항_N,승선항_Q,승선항_S,호칭_Capt.,호칭_Col.,호칭_Countess.,호칭_Don.,호칭_Dr.,호칭_Jonkheer.,호칭_Lady.,호칭_Major.,호칭_Master.,호칭_Miss.,호칭_Mlle.,호칭_Mme.,호칭_Mr.,호칭_Mrs.,호칭_Ms.,호칭_Rev.,호칭_Sir.,나이등급_0,나이등급_1,나이등급_2,티켓숫자,티켓번호구분숫자
1,0,0.014151057562208049,0.2711736617240512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21171,2
1,0,0.13913573538264068,0.4722292033174164,0,0,0,0,0,1,0,0,0,85,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17599,12
0,0,0.015468569817999833,0.32143754712239253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3101282,28
1,0,0.10364429745562033,0.4345312892686604,0,0,0,0,0,1,0,0,0,123,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113803,0
0,0,0.015712553569072387,0.4345312892686604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,373450,0
0,0,0.01650950209357577,0.40145878929707596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,330877,0
0,0,0.10122885832000206,0.6732847449107816,0,0,0,0,0,0,0,1,0,46,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,17463,0
3,1,0.04113566043083236,0.01985423473234481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,349909,0
0,2,0.021730754366528396,0.33400351847197784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,347742,0
1,0,0.058694292654020104,0.17064589092736868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,237736,0
1,1,0.03259622914329302,0.04498617743151546,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9549,13
0,0,0.051822148727810165,0.723548630309123,0,0,0,0,0,1,0,0,0,103,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,113783,0
0,0,0.015712553569072387,0.24604171902488062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2151,2
1,5,0.06104473451835265,0.4847951746670017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,347082,0
0,0,0.015330377421392339,0.17064589092736868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,350406,0
0,0,0.03122992013728673,0.685850716260367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,248706,0
4,1,0.05684821399990475,0.01985423473234481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,382652,0
0,0,0.025374310111545468,0.40145878929707596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,244373,0
1,0,0.03513366015444757,0.38426740387031916,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,345763,0
0,0,0.014102260811993537,0.44581739316597313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2649,0
0,0,0.050748620223090936,0.4345312892686604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,239865,0
0,0,0.025374310111545468,0.4219653179190751,0,1,0,0,0,0,0,0,0,56,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,248698,0
0,0,0.015671954672893913,0.18321186227695402,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,330923,0
0,0,0.06929138530460494,0.34656948982156316,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,113788,0
3,1,0.04113566043083236,0.09525006282985675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,349909,0
1,5,0.06126431989431795,0.4722292033174164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,347077,0
0,0,0.014102260811993537,0.40145878929707596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2631,0
3,2,0.5133418122566507,0.2334757476752953,0,0,0,0,0,1,0,0,0,23,25,27,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19950,0
0,0,0.01537917417160685,0.2683334079258573,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,330959,0
