일자,발전기명(WTG),발전기(Serial),발전량(kWh),최저풍속(m-s),평균풍속(m-s),최대풍속(m-s),최소발전량(kW),평균발전량(kW),최대발전량(kW),이용률(백분율),가동율(백분율),발전용량(kW),위치
2019-01-01,WTG01,U113-001,32572.449,0.031,8.437999999999999,16.817999999999998,-28.298000000000002,1357.2079999999999,2384.987,59.008,97.6,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-02,WTG01,U113-001,13894.165,0.08800000000000001,5.702000000000001,13.564,-29.833000000000002,578.841,2392.446,25.171,92.5,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-03,WTG01,U113-001,8639.587,0.201,4.8839999999999995,11.386,-31.808000000000003,359.82599999999996,2338.481,15.651,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-04,WTG01,U113-001,1203.0639999999999,0.037000000000000005,2.4730000000000003,8.855,-59.668,49.614,1247.994,2.1790000000000003,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-05,WTG01,U113-001,22413.391,0.0,6.358,14.735,-30.273000000000003,933.888,2385.426,40.604,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-06,WTG01,U113-001,5357.2390000000005,0.087,4.0569999999999995,9.994,-31.588,222.935,1485.79,9.705,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-07,WTG01,U113-001,2289.978,0.042,3.033,8.422,-31.808000000000003,95.09299999999999,864.097,4.149,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-08,WTG01,U113-001,24443.542,0.0,6.773,18.309,-29.614,1017.1569999999999,2385.426,44.282,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-09,WTG01,U113-001,10864.014,0.057999999999999996,4.712,16.915,-31.808000000000003,452.37300000000005,2386.084,19.680999999999997,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-10,WTG01,U113-001,417.358,0.0,2.113,9.151,-32.466,16.73,467.037,0.7559999999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-11,WTG01,U113-001,5424.988,0.033,3.972,9.76,-32.027,228.706,1278.7060000000001,9.828,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-12,WTG01,U113-001,3419.434,0.0,3.2769999999999997,8.037,-33.343,142.263,915.21,6.195,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-13,WTG01,U113-001,8601.44,0.237,4.9430000000000005,10.874,-31.588,358.22,2058.126,15.582,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-14,WTG01,U113-001,3100.342,0.09,3.2310000000000003,8.503,-31.15,128.799,1030.379,5.617000000000001,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-15,WTG01,U113-001,25260.742000000002,0.03,7.749,18.253,-30.491999999999997,1052.397,2378.187,45.762,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-16,WTG01,U113-001,18367.004,0.03,6.1,16.784000000000002,-31.588,764.895,2383.013,33.274,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-17,WTG01,U113-001,6903.564,0.225,4.18,11.195,-109.90299999999999,287.474,1867.713,12.505999999999998,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-18,WTG01,U113-001,0.0,0.032,1.46,3.707,-0.21899999999999997,-0.163,0.0,0.0,99.2,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-19,WTG01,U113-001,876.221,0.06,2.562,6.606,-242.18400000000003,35.961,483.27099999999996,1.587,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-20,WTG01,U113-001,46104.187000000005,1.818,11.806,17.895,0.0,1921.035,2362.831,83.522,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-21,WTG01,U113-001,15832.396999999999,0.031,5.565,14.505,-31.808000000000003,659.444,2370.509,28.682,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-22,WTG01,U113-001,2074.768,0.047,2.8939999999999997,7.934,-31.15,86.01299999999999,687.066,3.759,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-23,WTG01,U113-001,21587.158,0.0,6.919,13.913,-29.395,899.35,2379.942,39.107,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-24,WTG01,U113-001,12370.178,0.033,5.386,13.703,-560.269,515.0409999999999,2373.799,22.41,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-25,WTG01,U113-001,27163.33,0.0,7.8260000000000005,19.656,-238.674,1116.208,2364.147,49.208999999999996,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-26,WTG01,U113-001,44594.055,0.0,11.442,20.067,0.0,1856.2420000000002,2369.851,80.786,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-27,WTG01,U113-001,884.46,0.034,2.3369999999999997,6.247999999999999,-32.466,36.618,292.639,1.6019999999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-28,WTG01,U113-001,30818.97,2.188,8.244,14.658,0.0,1284.121,2380.819,55.831,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-29,WTG01,U113-001,4992.126,0.084,3.755,9.44,-30.93,207.675,1557.086,9.044,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-30,WTG01,U113-001,10886.292,0.10800000000000001,4.6610000000000005,12.32,-43.435,453.283,2343.745,19.722,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-01-31,WTG01,U113-001,39073.547,0.0,10.302999999999999,17.982,65.37100000000001,1628.136,2379.064,70.785,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-01,WTG01,U113-001,18845.398,0.032,5.787999999999999,17.205,-30.273000000000003,785.0010000000001,2381.4770000000003,34.14,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-02,WTG01,U113-001,12920.593,0.0,6.035,14.724,-33.124,538.189,2383.452,23.406999999999996,99.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-03,WTG01,U113-001,32950.195,1.545,9.291,16.791,-32.247,1372.87,2400.562,59.692,97.6,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-04,WTG01,U113-001,27086.304,0.032,7.581,16.372,-31.808000000000003,1128.486,2366.779,49.068999999999996,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-05,WTG01,U113-001,3425.659,0.0,3.255,10.125,-33.124,142.257,1527.69,6.206,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-06,WTG01,U113-001,3016.235,0.031,2.938,9.138,-33.563,125.228,1358.118,5.4639999999999995,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-07,WTG01,U113-001,44440.062999999995,0.026000000000000002,11.847000000000001,19.508,-31.588,1851.6770000000001,2386.962,80.507,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-08,WTG01,U113-001,33881.226,2.438,8.936,17.146,123.285,1411.759,2377.968,61.379,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-09,WTG01,U113-001,46104.736,0.0,11.094000000000001,18.471,206.865,1921.024,2389.155,83.523,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-10,WTG01,U113-001,20230.103,1.867,6.718,12.690999999999999,29.833000000000002,842.847,2378.625,36.649,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-11,WTG01,U113-001,31477.173,0.0,8.163,15.85,-31.15,1311.465,2386.5229999999997,57.023999999999994,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-12,WTG01,U113-001,11498.535,0.046,4.7139999999999995,12.14,-31.808000000000003,478.866,2307.988,20.831,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-13,WTG01,U113-001,25603.882,1.719,7.692,15.245,-28.737,1066.859,2392.446,46.38399999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-14,WTG01,U113-001,10092.773000000001,0.22899999999999998,4.919,11.554,-32.466,420.142,2202.6910000000003,18.284000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-15,WTG01,U113-001,10229.37,0.0,4.34,14.63,-31.15,425.791,2370.509,18.531,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-16,WTG01,U113-001,47978.515999999996,3.522,10.552999999999999,17.298,374.902,1999.1989999999998,2392.2270000000003,86.91799999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-17,WTG01,U113-001,23023.438,0.0,7.22,13.485,-12.942,959.329,2361.734,41.708999999999996,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-18,WTG01,U113-001,1208.13,0.163,2.5340000000000003,8.692,-31.588,49.803000000000004,1147.522,2.189,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-19,WTG01,U113-001,11854.003999999999,1.195,5.4,11.705,-30.711,493.786,2328.1710000000003,21.475,99.8,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-20,WTG01,U113-001,10407.104,0.031,4.301,12.09,-31.588,433.42699999999996,2346.3779999999997,18.852999999999998,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-21,WTG01,U113-001,12713.989,0.087,5.287000000000001,11.739,-30.93,529.457,2343.965,23.033,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-22,WTG01,U113-001,9543.823,0.0,4.718,10.452,-32.905,397.11199999999997,2000.871,17.29,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-23,WTG01,U113-001,1695.3129999999999,0.032,2.467,8.863999999999999,-31.588,70.028,1123.611,3.071,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-24,WTG01,U113-001,485.84,0.0,1.79,7.607,-30.93,19.913,595.149,0.88,96.4,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-25,WTG01,U113-001,11089.233,0.0,4.958,11.277999999999999,-48.041000000000004,461.756,2225.505,20.089000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-26,WTG01,U113-001,13697.998,0.0,5.82,11.902999999999999,-31.588,570.5740000000001,2337.823,24.815,99.8,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-27,WTG01,U113-001,1526.245,0.0,2.701,8.603,-61.203,62.966,1078.641,2.765,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-02-28,WTG01,U113-001,7904.906999999999,0.405,4.726,9.269,-29.614,329.184,1393.656,14.32,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-01,WTG01,U113-001,3461.67,0.065,3.437,7.898,-31.808000000000003,143.666,660.0830000000001,6.271,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-02,WTG01,U113-001,166.382,0.033,2.115,4.901,-31.588,6.1739999999999995,191.50900000000001,0.301,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-03,WTG01,U113-001,219.727,0.028999999999999998,1.912,5.335,-32.247,8.415,163.649,0.39799999999999996,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-03-04,WTG01,U113-001,5541.138000000001,0.057999999999999996,3.9610000000000003,8.54,-34.66,230.546,1205.655,10.038,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
