발생날짜,사망자수
2013년 1월 3일 목요일,1
2013년 1월 7일 월요일,2
2013년 1월 8일 화요일,1
2013년 1월 9일 수요일,1
2013년 1월 10일 목요일,3
2013년 1월 12일 토요일,1
2013년 1월 13일 일요일,2
2013년 1월 15일 화요일,1
2013년 1월 16일 수요일,1
2013년 1월 17일 목요일,1
2013년 1월 19일 토요일,2
2013년 1월 21일 월요일,2
2013년 1월 22일 화요일,2
2013년 1월 28일 월요일,1
2013년 1월 30일 수요일,2
2013년 1월 31일 목요일,2
2013년 2월 2일 토요일,2
2013년 2월 7일 목요일,2
2013년 2월 8일 금요일,1
2013년 2월 9일 토요일,1
2013년 2월 11일 월요일,1
2013년 2월 13일 수요일,2
2013년 2월 17일 일요일,1
2013년 2월 19일 화요일,2
2013년 2월 20일 수요일,2
2013년 2월 21일 목요일,2
2013년 2월 27일 수요일,1
2013년 2월 28일 목요일,2
2013년 3월 1일 금요일,1
2013년 3월 2일 토요일,1
2013년 3월 3일 일요일,1
2013년 3월 4일 월요일,1
2013년 3월 5일 화요일,4
2013년 3월 6일 수요일,1
2013년 3월 9일 토요일,2
2013년 3월 10일 일요일,1
2013년 3월 11일 월요일,1
2013년 3월 12일 화요일,2
2013년 3월 13일 수요일,1
2013년 3월 14일 목요일,1
2013년 3월 16일 토요일,3
2013년 3월 17일 일요일,4
2013년 3월 18일 월요일,1
2013년 3월 19일 화요일,2
2013년 3월 20일 수요일,2
2013년 3월 24일 일요일,1
2013년 3월 25일 월요일,1
2013년 3월 26일 화요일,2
2013년 3월 28일 목요일,2
2013년 3월 29일 금요일,2
2013년 3월 30일 토요일,1
2013년 3월 31일 일요일,2
2013년 4월 1일 월요일,1
2013년 4월 4일 목요일,1
2013년 4월 6일 토요일,2
2013년 4월 7일 일요일,1
2013년 4월 8일 월요일,1
2013년 4월 11일 목요일,1
2013년 4월 13일 토요일,2
2013년 4월 14일 일요일,1
2013년 4월 15일 월요일,1
2013년 4월 16일 화요일,1
2013년 4월 19일 금요일,1
2013년 4월 20일 토요일,2
2013년 4월 22일 월요일,1
2013년 4월 23일 화요일,2
2013년 4월 24일 수요일,2
2013년 4월 25일 목요일,2
2013년 4월 26일 금요일,1
2013년 4월 27일 토요일,1
2013년 4월 28일 일요일,2
2013년 4월 29일 월요일,1
2013년 4월 30일 화요일,1
2013년 5월 1일 수요일,1
2013년 5월 5일 일요일,2
2013년 5월 6일 월요일,1
2013년 5월 7일 화요일,2
2013년 5월 8일 수요일,3
2013년 5월 9일 목요일,1
2013년 5월 11일 토요일,2
2013년 5월 13일 월요일,2
2013년 5월 14일 화요일,3
2013년 5월 15일 수요일,4
2013년 5월 16일 목요일,1
2013년 5월 20일 월요일,1
2013년 5월 21일 화요일,1
2013년 5월 22일 수요일,1
2013년 5월 25일 토요일,1
2013년 5월 27일 월요일,1
2013년 5월 29일 수요일,1
2013년 5월 30일 목요일,1
2013년 6월 1일 토요일,1
2013년 6월 2일 일요일,1
2013년 6월 3일 월요일,1
2013년 6월 4일 화요일,1
2013년 6월 5일 수요일,1
2013년 6월 7일 금요일,1
2013년 6월 8일 토요일,3
2013년 6월 9일 일요일,1
2013년 6월 10일 월요일,1
2013년 6월 11일 화요일,1
2013년 6월 13일 목요일,2
2013년 6월 14일 금요일,2
2013년 6월 15일 토요일,1
2013년 6월 17일 월요일,2
2013년 6월 18일 화요일,2
2013년 6월 19일 수요일,1
2013년 6월 20일 목요일,1
2013년 6월 21일 금요일,1
2013년 6월 25일 화요일,2
2013년 6월 26일 수요일,2
2013년 6월 27일 목요일,4
2013년 6월 28일 금요일,1
2013년 6월 30일 일요일,2
2013년 7월 1일 월요일,1
2013년 7월 2일 화요일,2
2013년 7월 3일 수요일,2
2013년 7월 6일 토요일,1
2013년 7월 7일 일요일,2
2013년 7월 8일 월요일,1
2013년 7월 9일 화요일,3
2013년 7월 11일 목요일,2
2013년 7월 15일 월요일,2
2013년 7월 16일 화요일,1
2013년 7월 17일 수요일,2
2013년 7월 18일 목요일,3
2013년 7월 20일 토요일,3
2013년 7월 23일 화요일,2
2013년 7월 25일 목요일,1
2013년 7월 29일 월요일,2
2013년 7월 30일 화요일,2
2013년 8월 3일 토요일,1
2013년 8월 5일 월요일,1
2013년 8월 6일 화요일,1
2013년 8월 8일 목요일,1
2013년 8월 9일 금요일,1
2013년 8월 11일 일요일,1
2013년 8월 12일 월요일,1
2013년 8월 15일 목요일,1
2013년 8월 16일 금요일,3
2013년 8월 20일 화요일,1
2013년 8월 23일 금요일,6
2013년 8월 26일 월요일,1
2013년 8월 28일 수요일,2
2013년 8월 29일 목요일,1
2013년 8월 30일 금요일,1
2013년 8월 31일 토요일,1
2013년 9월 4일 수요일,3
2013년 9월 5일 목요일,2
2013년 9월 6일 금요일,1
2013년 9월 8일 일요일,2
2013년 9월 9일 월요일,2
2013년 9월 11일 수요일,2
2013년 9월 12일 목요일,1
2013년 9월 13일 금요일,1
2013년 9월 14일 토요일,1
2013년 9월 16일 월요일,1
2013년 9월 17일 화요일,3
2013년 9월 18일 수요일,2
2013년 9월 20일 금요일,1
2013년 9월 21일 토요일,2
