날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2017-01-01,광양항태양광,전남 광양시 도이동 775,2.3,4365000
2017-01-02,광양항태양광,전남 광양시 도이동 775,2.3,3974400
2017-01-03,광양항태양광,전남 광양시 도이동 775,2.3,4361400
2017-01-04,광양항태양광,전남 광양시 도이동 775,2.3,3960000
2017-01-05,광양항태양광,전남 광양시 도이동 775,2.3,2431800
2017-01-06,광양항태양광,전남 광양시 도이동 775,2.3,4291200
2017-01-07,광양항태양광,전남 광양시 도이동 775,2.3,2331000
2017-01-08,광양항태양광,전남 광양시 도이동 775,2.3,3670200
2017-01-09,광양항태양광,전남 광양시 도이동 775,2.3,3223800
2017-01-10,광양항태양광,전남 광양시 도이동 775,2.3,4973400
2017-01-11,광양항태양광,전남 광양시 도이동 775,2.3,4923000
2017-01-12,광양항태양광,전남 광양시 도이동 775,2.3,3205800
2017-01-13,광양항태양광,전남 광양시 도이동 775,2.3,3267000
2017-01-14,광양항태양광,전남 광양시 도이동 775,2.3,5146200
2017-01-15,광양항태양광,전남 광양시 도이동 775,2.3,5211000
2017-01-16,광양항태양광,전남 광양시 도이동 775,2.3,4998600
2017-01-17,광양항태양광,전남 광양시 도이동 775,2.3,3654000
2017-01-18,광양항태양광,전남 광양시 도이동 775,2.3,3886200
2017-01-19,광양항태양광,전남 광양시 도이동 775,2.3,4001400
2017-01-20,광양항태양광,전남 광양시 도이동 775,2.3,2932200
2017-01-21,광양항태양광,전남 광양시 도이동 775,2.3,4626000
2017-01-22,광양항태양광,전남 광양시 도이동 775,2.3,3677400
2017-01-23,광양항태양광,전남 광양시 도이동 775,2.3,5238000
2017-01-24,광양항태양광,전남 광양시 도이동 775,2.3,5490000
2017-01-25,광양항태양광,전남 광양시 도이동 775,2.3,5324400
2017-01-26,광양항태양광,전남 광양시 도이동 775,2.3,5221800
2017-01-27,광양항태양광,전남 광양시 도이동 775,2.3,4948200
2017-01-28,광양항태양광,전남 광양시 도이동 775,2.3,5434200
2017-01-29,광양항태양광,전남 광양시 도이동 775,2.3,631800
2017-01-30,광양항태양광,전남 광양시 도이동 775,2.3,5760000
2017-01-31,광양항태양광,전남 광양시 도이동 775,2.3,5832000
