Unnamed: 0,stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur,weekday
0,108,서울,2021-02-01,5.0,-2.3,2357.0,9.5,1320,,,,,0.83,0.7,11.4,270,2324,6.7,270,2326,2.7,2290,50,0.6,45,2343,74.5,6.9,1006.2,1022.1,2352,1012.7,1422,1016.7,10.3,1.1,1300.0,1.77,5.8,,,,,,7.6,6.6,1.6,-3.6,0.5,-0.1,0.0,0.7,1.5,4.1,6.8,13.3,16.2,1.3,1.8,,{비}0205-0255.  {박무}0740-{박무}{강도0}0900-1150. {박무}1240-{박무}{강도0}1500-{박무}{강도0}1800-1948. ,,0
1,108,서울,2021-02-02,-5.6,-8.2,756.0,-2.4,1,,,,,3.83,0.0,11.2,290,338,5.9,290,341,3.9,3353,270,-16.1,28,1103,44.1,1.8,1015.4,1028.5,2400,1022.1,1,1026.5,10.4,9.6,1200.0,2.38,14.69,,,,,,1.8,1.8,-0.6,-9.0,0.5,-0.1,0.0,0.7,1.5,4.1,6.7,13.2,16.1,1.5,2.1,0.0,{눈}1855-{눈}{강도0}2100-2245. ,,1
2,108,서울,2021-02-03,-3.2,-9.4,335.0,1.4,1337,,,,,6.5,3.4,8.5,270,1340,4.5,230,1347,2.2,1911,200,-9.1,43,1146,64.6,3.3,1014.5,1029.2,252,1020.1,2327,1025.5,10.4,6.6,1200.0,2.32,11.7,4.2,2355.0,4.2,2355.0,4.2,5.0,4.4,-1.4,-11.6,0.1,-0.4,0.0,0.7,1.5,4.1,6.7,13.1,16.1,1.3,1.8,3.5,{눈}1605-{눈}{강도0}1800-1830. {눈}1955-{눈}{강도0}2100-{시정(미만)}{1km}{눈}2110-{시정(이상)}{1km}{눈}2130-{시정(미만)}{1km}{눈}2301-{시정(이상)}{1km}{눈}2315-{시정(미만)}{1km}{눈}2340-{시정(이상)}{1km}{눈}2359-{눈}{강도0}2400- {박무}2320-{박무}{강도2}2400-,,2
3,108,서울,2021-02-04,-3.6,-7.4,732.0,0.7,1554,,,,,1.33,0.1,10.4,250,417,5.3,250,350,2.5,2188,270,-12.8,29,1515,50.1,2.3,1016.4,1030.0,1113,1020.8,1,1027.5,10.4,9.6,1200.0,2.43,15.33,0.2,30.0,4.3,30.0,0.2,0.1,0.0,-0.3,-11.2,0.4,-0.2,0.0,0.7,1.6,4.1,6.7,13.0,16.1,1.6,2.3,,-{눈}-0120.  -{박무}-0150. ,,3
4,108,서울,2021-02-05,1.4,-4.4,1.0,6.7,1532,,,,,,,9.3,230,1501,5.1,200,1502,2.4,2116,200,-3.2,60,45,71.8,5.0,1010.2,1026.8,15,1017.2,2340,1021.0,10.5,2.7,1300.0,1.82,7.95,,,1.4,1.0,,6.0,3.4,0.2,-8.0,0.3,-0.3,0.0,0.7,1.6,4.1,6.7,13.0,16.0,1.0,1.5,,{햇무리}1550-1630. ,,4
5,108,서울,2021-02-06,6.8,4.3,1.0,9.5,1405,,,,,,,8.0,230,1541,4.6,180,1353,2.2,1925,200,3.6,72,1423,80.4,8.0,1004.8,1017.4,14,1013.9,1421,1015.3,10.5,0.1,1300.0,1.0,4.77,,,,,,9.0,9.0,2.2,3.2,0.6,-0.1,0.0,0.7,1.6,4.1,6.6,12.9,16.0,0.8,1.1,,{박무}1150-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-,,5
6,108,서울,2021-02-07,3.6,-2.6,2352.0,7.7,1441,,,,,,,9.4,290,1410,5.3,250,1706,2.9,2518,270,-2.9,29,1724,67.0,5.4,1010.8,1025.4,2359,1016.4,1,1021.5,10.5,6.0,1200.0,2.14,11.38,,,,,,4.4,4.4,3.2,-4.5,0.7,-0.1,0.1,0.9,1.7,4.1,6.6,12.8,15.9,1.9,2.8,,-{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{시정(미만)}{1km}{안개}0738-{시정(미만)}{0.5km}{안개}0749-{시정(이상)}{0.5km}{안개}0800-{시정(이상)}{1km}{박무}0821-{박무}{강도2}0900-{박무}{강도0}1200-1255.  {연무}1250-1330. ,0.72,6
7,108,서울,2021-02-08,-3.1,-5.4,734.0,0.2,1517,,,,,,,11.5,320,1551,6.3,320,1528,3.4,2936,290,-14.0,29,1328,43.6,2.1,1017.5,1030.8,2332,1025.4,1,1028.5,10.6,9.6,1200.0,2.5,15.91,,,,,,0.0,0.0,0.2,-6.7,0.5,-0.1,0.3,1.2,2.2,4.2,6.6,12.8,15.9,1.9,2.7,,,,0
8,108,서울,2021-02-09,-0.9,-6.1,415.0,4.7,1551,,,,,,,8.1,250,1450,4.8,250,1426,2.0,1693,250,-10.0,28,1401,51.9,2.9,1017.6,1030.9,105,1026.6,1645,1028.6,10.6,9.7,1200.0,2.41,15.46,,,,,,0.1,0.0,0.5,-9.6,0.5,-0.1,0.3,1.0,2.0,4.2,6.6,12.7,15.8,1.9,2.7,,,,1
9,108,서울,2021-02-10,3.4,-1.5,339.0,7.2,1509,,,,,,,7.7,200,1632,4.3,200,1632,2.1,1799,230,-0.7,63,1517,75.1,5.9,1014.5,1027.6,5,1023.4,1527,1025.3,10.7,0.7,1200.0,1.04,6.15,,,,,,6.3,6.3,0.7,-5.4,0.6,0.0,0.3,1.0,1.9,4.2,6.6,12.6,15.8,0.9,1.3,,{박무}2350-{박무}{강도0}2400-,,2
