"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","AVG_00TMST","AVG_01TMST","AVG_02TMST","AVG_03TMST","AVG_04TMST","AVG_05TMST","AVG_06TMST","AVG_07TMST","AVG_08TMST","AVG_09TMST","AVG_10TMST","AVG_11TMST","AVG_12TMST","AVG_13TMST","AVG_14TMST","AVG_15TMST","AVG_16TMST","AVG_17TMST","AVG_18TMST","AVG_19TMST","AVG_20TMST","AVG_21TMST","AVG_22TMST","AVG_23TMST","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","1.10106E+19","952559","1956707","1.04","0.47","0.24","0.15","0.12","0.17","0.59","1.93","3.43","4.97","5.91","5.93","5.92","6.02","6.31","6.42","6.61","6.59","6.24","5.17","4.51","4.08","3.1","2.04","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952608.375","1956758","1.15","0.52","0.26","0.16","0.14","0.2","0.66","2.14","3.8","5.51","6.55","6.58","6.56","6.67","6.99","7.13","7.34","7.31","6.92","5.74","5","4.53","3.44","2.26","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952609.625","1956963","0.29","0.14","0.07","0.05","0.05","0.06","0.16","0.46","0.79","1.09","1.31","1.37","1.32","1.43","1.46","1.46","1.6","1.59","1.54","1.35","1.15","1","0.78","0.53","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952657.375","1956758","0.19","0.08","0.04","0.02","0.02","0.03","0.09","0.27","0.5","0.78","0.97","0.98","0.92","0.96","0.97","1","1.05","1.08","1.02","0.82","0.71","0.63","0.48","0.34","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952657.6875","1956809","0.16","0.06","0.03","0.02","0.02","0.03","0.08","0.23","0.42","0.66","0.82","0.83","0.78","0.81","0.82","0.85","0.89","0.91","0.87","0.69","0.6","0.54","0.41","0.29","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952657.875","1956860","0.16","0.06","0.03","0.02","0.02","0.03","0.08","0.23","0.42","0.66","0.81","0.82","0.77","0.8","0.81","0.84","0.88","0.9","0.86","0.68","0.59","0.53","0.4","0.28","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952658.3125","1956912","0.15","0.06","0.03","0.02","0.02","0.03","0.08","0.22","0.41","0.65","0.8","0.81","0.76","0.79","0.8","0.82","0.86","0.89","0.84","0.67","0.58","0.52","0.4","0.28","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952658.625","1956963","0.14","0.06","0.03","0.02","0.01","0.02","0.07","0.2","0.37","0.59","0.72","0.73","0.69","0.71","0.73","0.75","0.78","0.8","0.76","0.61","0.53","0.47","0.36","0.25","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952707.125","1956860","0.17","0.07","0.03","0.02","0.02","0.03","0.09","0.25","0.46","0.72","0.89","0.9","0.85","0.88","0.9","0.92","0.97","0.99","0.94","0.75","0.65","0.58","0.45","0.31","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952707.3125","1956911","0.15","0.06","0.03","0.02","0.01","0.02","0.07","0.21","0.39","0.61","0.75","0.76","0.72","0.75","0.76","0.78","0.81","0.84","0.8","0.63","0.55","0.49","0.38","0.26","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952757.1875","1957065","0.91","0.41","0.21","0.12","0.1","0.15","0.52","1.69","2.99","4.34","5.17","5.18","5.17","5.26","5.52","5.62","5.78","5.76","5.45","4.52","3.94","3.57","2.71","1.78","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952757.5","1957117","0.76","0.35","0.18","0.11","0.09","0.13","0.44","1.46","2.59","3.71","4.39","4.4","4.43","4.49","4.72","4.81","4.93","4.9","4.63","3.86","3.37","3.05","2.32","1.51","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952806.625","1957116","0.89","0.4","0.2","0.12","0.1","0.15","0.51","1.65","2.94","4.26","5.06","5.08","5.07","5.16","5.41","5.5","5.66","5.65","5.34","4.43","3.86","3.49","2.66","1.74","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952806.875","1957168","0.7","0.32","0.16","0.1","0.08","0.12","0.41","1.34","2.37","3.4","4.02","4.03","4.06","4.11","4.33","4.4","4.52","4.49","4.24","3.54","3.09","2.8","2.13","1.38","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952807.125","1957219","0.34","0.22","0.18","0.12","0.09","0.18","0.36","0.89","1.49","2.45","2.85","2.8","2.53","2.53","2.54","2.61","2.7","2.62","2.33","1.92","1.65","1.31","0.98","0.63","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952807.375","1957270","0.08","0.06","0.06","0.04","0.03","0.04","0.08","0.14","0.24","0.39","0.46","0.45","0.41","0.41","0.42","0.44","0.45","0.43","0.38","0.3","0.26","0.2","0.17","0.11","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952807.8125","1957322","0.28","0.13","0.06","0.04","0.03","0.05","0.16","0.53","0.94","1.35","1.59","1.6","1.61","1.63","1.72","1.75","1.79","1.78","1.68","1.4","1.22","1.11","0.84","0.55","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952954.8125","1957321","0.53","0.24","0.12","0.08","0.06","0.09","0.31","1.02","1.8","2.58","3.05","3.05","3.07","3.12","3.28","3.34","3.43","3.4","3.22","2.68","2.34","2.12","1.61","1.05","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952901.375","1956551","3.06","1.41","0.72","0.44","0.36","0.52","1.79","5.89","10.43","14.97","17.7","17.73","17.85","18.1","19.05","19.39","19.89","19.74","18.67","15.59","13.59","12.32","9.35","6.09","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952902.3125","1956705","0.25","0.1","0.05","0.03","0.02","0.04","0.13","0.37","0.67","1.06","1.31","1.32","1.24","1.29","1.32","1.35","1.41","1.46","1.38","1.1","0.96","0.86","0.65","0.46","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952902.875","1956808","0.2","0.08","0.04","0.02","0.02","0.03","0.1","0.3","0.54","0.86","1.06","1.07","1.01","1.05","1.06","1.09","1.14","1.18","1.12","0.89","0.77","0.69","0.53","0.37","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952950.375","1956550","3.32","1.52","0.78","0.48","0.39","0.56","1.94","6.38","11.29","16.2","19.15","19.2","19.32","19.59","20.62","20.98","21.53","21.37","20.21","16.87","14.71","13.33","10.12","6.59","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952950.6875","1956602","2.99","1.38","0.7","0.43","0.35","0.51","1.75","5.76","10.19","14.62","17.28","17.32","17.43","17.67","18.6","18.93","19.43","19.28","18.24","15.22","13.27","12.03","9.13","5.94","2016-05-04 오후 6:20:55"
