"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","MAN_FLOW_POP_CNT_10G","MAN_FLOW_POP_CNT_20G","MAN_FLOW_POP_CNT_30G","MAN_FLOW_POP_CNT_40G","MAN_FLOW_POP_CNT_50G","MAN_FLOW_POP_CNT_60GU","WMAN_FLOW_POP_CNT_10G","WMAN_FLOW_POP_CNT_20G","WMAN_FLOW_POP_CNT_30G","WMAN_FLOW_POP_CNT_40G","WMAN_FLOW_POP_CNT_50G","WMAN_FLOW_POP_CNT_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","11010560200141000001","952559","1956707","3.63","4.67","6.56","8.24","9.03","7.77","6.07","4.44","7.41","11.23","10.5","8.34","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200141000001","952608.375","1956758","4.01","5.18","7.3","9.16","10","8.64","6.71","4.94","8.24","12.46","11.64","9.25","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200141000001","952609.625","1956963","1.05","1.76","1.43","1.73","1.58","1.55","1.41","1.79","2.1","2.53","2.05","2","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200141000001","952757.5","1957117","2.76","3.43","4.82","6.07","6.58","5.83","4.81","3.17","5.51","8.48","7.86","6.29","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200051000001","954573.375","1957415","1.44","1.5","2.78","3.9","3.47","2.96","0.97","1.75","2.78","3.75","3.71","3.36","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560300051000001","952752.5","1956243","5.32","6.51","9.14","11.53","12.51","11.07","9.13","6","10.52","16.11","14.92","11.94","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560300051000001","953779.8125","1955775","4.14","5.05","7.12","8.95","9.69","8.61","7.11","4.66","8.18","12.5","11.59","9.3","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560300051000001","953925.1875","1955466","0","0","0.05","0.21","0.42","0.59","0","0","0","0.1","0.21","0.21","2016-05-04 오후 6:30:49"
"201603","서울특별시","종로구","평창동","11010560200141000001","952657.375","1956758","0.42","0.83","1.17","1.42","1.65","1.2","0.5","0.94","1.18","1.66","1.66","1.22","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200141000001","952657.6875","1956809","0.38","0.7","1.01","1.22","1.42","1.04","0.43","0.82","0.99","1.39","1.4","1","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200071000001","952706.375","1956757","0.41","0.83","1.15","1.38","1.64","1.19","0.5","0.94","1.15","1.63","1.63","1.21","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200051000001","953982.8125","1957007","0.97","1.79","2.54","3.1","3.63","2.65","1.12","2.05","2.57","3.58","3.59","2.63","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200051000001","954032.875","1957212","0.59","1.17","1.65","2.01","2.34","1.69","0.74","1.32","1.65","2.3","2.32","1.68","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200051000001","954326.3125","1957056","0.62","1.21","1.71","2.08","2.45","1.76","0.76","1.39","1.72","2.41","2.41","1.78","2016-05-04 오후 6:31:10"
"201603","서울특별시","종로구","평창동","11010560200141000001","952657.875","1956860","0.37","0.7","1.01","1.18","1.41","1.02","0.42","0.8","0.99","1.37","1.38","0.99","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560200141000001","952658.3125","1956912","0.37","0.7","0.97","1.16","1.39","1","0.42","0.78","0.98","1.34","1.37","0.98","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560200141000001","952658.625","1956963","0.3","0.63","0.88","1.07","1.25","0.88","0.4","0.71","0.87","1.22","1.23","0.91","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560200141000001","952707.125","1956860","0.39","0.75","1.08","1.3","1.54","1.12","0.48","0.86","1.08","1.52","1.54","1.11","2016-05-04 오후 6:31:14"
"201603","서울특별시","종로구","평창동","11010560200141000001","952707.3125","1956911","0.34","0.64","0.89","1.12","1.3","0.94","0.41","0.73","0.91","1.3","1.29","0.94","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200061000001","953050.3125","1956858","0.6","1.18","1.66","2.03","2.37","1.71","0.74","1.35","1.66","2.35","2.35","1.7","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200071000001","952707.625","1956963","0.3","0.63","0.88","1.05","1.24","0.87","0.4","0.71","0.87","1.21","1.23","0.91","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200031000001","953246.6875","1956908","0.58","1.12","1.56","1.91","2.24","1.62","0.69","1.29","1.58","2.2","2.22","1.62","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200031000001","953249","1957319","0.54","1.04","1.48","1.82","2.1","1.52","0.64","1.17","1.48","2.08","2.09","1.52","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560300051000001","953635.1875","1956238","0.89","1.7","2.4","2.93","3.45","2.53","1.06","1.95","2.43","3.39","3.42","2.51","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560300051000001","953784.3125","1956597","0.93","1.76","2.47","2.98","3.54","2.6","1.08","1.99","2.46","3.46","3.5","2.56","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200141000001","952757.1875","1957065","3.13","4.08","5.75","7.2","7.86","6.83","5.33","3.9","6.47","9.79","9.19","7.29","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200141000001","952806.625","1957116","3.06","3.99","5.62","7.09","7.72","6.63","5.21","3.83","6.34","9.59","9.03","7.15","2016-05-04 오후 6:31:16"
"201603","서울특별시","종로구","평창동","11010560200141000001","952806.875","1957168","2.56","3.14","4.42","5.56","6.02","5.35","4.41","2.91","5.06","7.76","7.2","5.81","2016-05-04 오후 6:31:14"
"201603","서울특별시","종로구","평창동","11010560200061000001","952950.375","1956550","12.2","14.95","21.02","26.51","28.68","25.5","21.02","13.8","24.12","36.94","34.29","27.44","2016-05-04 오후 6:31:14"
"201603","서울특별시","종로구","평창동","11010560200141000001","952807.125","1957219","0.96","0.28","1.06","3.25","7.45","9.66","1.52","0.08","0.7","1.99","3.54","5.66","2016-05-04 오후 6:30:54"
"201603","서울특별시","종로구","평창동","11010560200141000001","952807.375","1957270","0.11","0.08","0.2","0.68","1.27","1.66","0.19","0","0.16","0.33","0.53","0.73","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200141000001","952807.8125","1957322","1.01","1.24","1.76","2.23","2.39","2.1","1.75","1.13","2","3.07","2.86","2.31","2016-05-04 오후 6:31:17"
"201603","서울특별시","종로구","평창동","11010560200141000001","952954.8125","1957321","1.94","2.38","3.34","4.22","4.57","4.06","3.36","2.18","3.84","5.88","5.46","4.38","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200011000001","952953.875","1957167","3.01","3.7","5.2","6.53","7.08","6.33","5.19","3.4","5.97","9.13","8.46","6.77","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200061000001","952901.375","1956551","11.26","13.82","19.43","24.5","26.48","23.52","19.41","12.75","22.29","34.14","31.66","25.37","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200021000001","952559.625","1956810","2.97","3.85","5.4","6.75","7.43","6.35","5","3.67","6.08","9.22","8.63","6.81","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200021000001","952608.6875","1956809","3.59","4.67","6.55","8.21","9","7.75","6.07","4.41","7.38","11.17","10.45","8.3","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200011000001","952854.875","1957013","3.49","4.51","6.32","7.95","8.71","7.52","5.84","4.27","7.16","10.8","10.16","8.03","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200061000001","952902.3125","1956705","0.58","1.15","1.61","1.93","2.27","1.63","0.7","1.29","1.61","2.22","2.25","1.64","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560300051000001","953735.8125","1956700","1.06","2","2.81","3.44","4.06","2.95","1.26","2.26","2.83","3.95","3.98","2.93","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560300051000001","953835.125","1956905","0.88","1.69","2.39","2.92","3.41","2.53","1.04","1.95","2.4","3.34","3.39","2.49","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560200061000001","952902.875","1956808","0.46","0.9","1.29","1.57","1.84","1.31","0.55","1.04","1.27","1.8","1.82","1.32","2016-05-04 오후 6:31:11"
"201603","서울특별시","종로구","평창동","11010560200071000001","952804.8125","1956808","0.35","0.66","0.92","1.15","1.36","0.97","0.41","0.76","0.92","1.32","1.34","0.96","2016-05-04 오후 6:31:11"
