도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
이석영뉴미디어도서관,경기도,남양주시,공공도서관,둘째·넷째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,18:00,09:00,18:00,615,48913,111,643,20,14,경기도 남양주시 화도읍 맷돌로 84,사단법인 문화현상,031-595-8390,1843.0,4877.0,http://lib.nyj.go.kr/lsy,37.65815984,127.2995319,2023-04-30,3990000,경기도 남양주시
원덕도서관,강원도,삼척시,공공도서관,토요일+일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,4,78766,50,160,10,30,강원도 삼척시 원덕읍 삼척로 446-14,강원도 삼척시청,033-572-4819,766.0,364.0,,37.17685442,129.3354843,2023-06-20,4241000,강원특별자치도 삼척시
가평군 한석봉도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,119,140341,44,5536,7,14,경기도 가평군 가평읍 문화로 187,경기도 가평군,031-580-4041,7485.0,3602.0,www.gaplib.go.kr,37.829691,127.506433,2023-06-21,4160000,경기도 가평군
가평군 설악도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,42,77707,43,1581,7,14,경기도 가평군 설악면 자잠로 65 가평설악도서관,경기도 가평군,031-580-4313,3693.0,1470.0,www.gaplib.go.kr,37.683315,127.491015,2023-06-21,4160000,경기도 가평군
가평군 청평도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,110,81120,39,1546,7,14,경기도 가평군 청평면 은고개로 31,경기도 가평군,031-580-4332,4500.0,2486.0,www.gaplib.go.kr,37.739591,127.42423,2023-06-21,4160000,경기도 가평군
가평군 조종도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,72,77327,39,1972,7,14,경기도 가평군 조종면 조종희망로 26번길22,경기도 가평군,031-580-4301,2692.0,1502.0,www.gaplib.go.kr,37.81829,127.352981,2023-06-21,4160000,경기도 가평군
구암도서관,대전광역시,유성구,공공도서관,일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,92,60080,52,0,5,14,대전광역시 유성구 유성대로626번길 57(구암동),대전광역시 유성구청,042-611-6630,2486.0,582.0,http://lib.yuseong.go.kr/,36.34926753,127.330255,2023-06-13,3670000,대전광역시 유성구
노은도서관,대전광역시,유성구,공공도서관,월+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,212,90102,58,2199,5,14,대전광역시 유성구 원신흥남로 59 (원신흥동),대전광역시 유성구청,042-611-6610,7523.0,3355.0,http://lib.yuseong.go.kr/,36.33771587,127.3374864,2023-06-13,3670000,대전광역시 유성구
원신흥도서관,대전광역시,유성구,공공도서관,월+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,98,48726,52,0,5,14,대전광역시 유성구 노은동로 234번길35(지족동),대전광역시 유성구청,042-611-6970,4782.0,3717.0,http://lib.yuseong.go.kr/,36.38210426,127.3204213,2023-06-13,3670000,대전광역시 유성구
유성도서관,대전광역시,유성구,공공도서관,월+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,186,129721,48,5654,5,14,대전광역시 유성구 대덕대로 507-38(가정동),대전광역시 유성구청,042-611-6530,29063.0,2466.0,http://lib.yuseong.go.kr/,36.37842291,127.3759135,2023-06-13,3670000,대전광역시 유성구
